일자,개인투자자,외국인투자자,기관계,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,국가,기타법인,내외국인
20131211,78881,-44905,-36636,-11701,-8730,-732,-1339,1308,-1942,-11904,-1595,1745,915
20131210,4467,869,-1298,-1612,-9483,-10717,0,-633,14741,7635,-1229,-3305,-733
20131209,-45439,73581,-17439,-5906,7892,-4930,-450,-3689,-13698,8517,-5175,-4793,-5910
20131206,33949,35751,-67874,-11136,-13620,-18452,-298,-8797,10455,-23766,-2259,-1726,-100
20131205,41072,-8973,-29714,-37333,-6685,2141,0,-1020,6495,3972,2716,-2566,181
20131204,121342,-141354,17026,-21453,7623,6704,724,754,12377,1180,9117,1958,1028
20131203,-9102,24555,-13203,-26908,124,6848,-10,-6480,8275,3792,1157,-2247,-4
20131202,1487,21551,-19962,-7030,-2498,-1903,0,1608,-9804,516,-850,-2942,-135
20131129,-28828,53461,-23905,19843,-5129,-23841,-25,-5825,-7154,-1616,-156,-820,91
20131128,-141411,101562,53157,83915,-5170,-7631,542,-16226,5832,-413,-7692,-12099,-1208
20131127,-1789,-21929,24580,41448,-1733,-20605,833,3193,9150,-9529,1822,-874,12
20131126,-32706,24640,8380,4824,485,-2209,-202,695,4149,410,228,-372,58
20131125,-49880,37659,13907,17718,2659,2113,266,-818,-7784,5,-252,-1284,-401
20131122,14250,-14037,-138,2718,-1846,7258,-159,-5489,-4276,349,1307,476,-552
20131121,60766,-59254,-5925,-32926,1378,1178,-967,2612,14028,1177,7596,4135,278
20131120,-10980,-34278,46018,16513,23276,-2333,0,3002,3464,638,1458,-1004,243
20131119,-84326,76136,10913,22648,-3669,-2028,-5635,-903,-1984,3515,-1031,-2528,-194
20131118,-41102,44631,132,-6807,2753,-6662,-1026,-1048,4690,7943,289,-2847,-813
20131115,-67915,15942,49882,-3932,10904,24242,-29,-71,6365,11276,1128,2327,-235
20131114,25702,2473,-27785,-47823,-25550,4684,-1381,1659,38436,-2949,5139,-610,219
20131113,47913,-27420,-23067,-23019,-14625,2409,414,101,5187,3308,3157,2395,179
20131112,-65042,82094,-15873,-9261,-14674,7640,-330,-904,881,2449,-1674,-1009,-170
20131111,-15428,23538,-7888,-10662,-11039,5172,0,-5619,10403,978,2880,-250,28
20131108,76484,-21794,-57937,-26224,-10532,-23420,216,-3986,19226,-11968,-1248,2542,705
20131107,69431,-2774,-64336,-44469,-4877,-14966,-381,-1762,19687,-11609,-5959,-2436,114
20131106,110958,15428,-127302,-9839,-13556,-39399,-1250,2468,-10208,-59589,4072,391,525
20131105,26057,13975,-39081,-40978,-4045,-9755,-1935,579,6698,8042,2312,-1050,99
20131104,-28311,62312,-20096,-32079,7960,-17285,-26,-1491,23682,1002,-1859,-13768,-136
20131101,-113684,163013,-49507,-21394,4417,-35389,557,-2955,-6349,6605,5003,196,-19
20131031,-8896,42371,-29880,8602,-13057,-34597,603,2196,15897,-10002,478,-2963,-632
20131030,-115799,147780,-28778,11694,14898,-43102,373,-1566,-9271,6687,-8490,-2935,-268
20131029,-63595,84873,-19348,19061,23,-48713,904,-3494,7026,3813,2032,-1527,-403
20131028,-94948,94735,-2215,6638,1267,-26500,1588,2456,8117,6172,-1952,3382,-955
20131025,-5918,46573,-38252,-9139,-2086,-20157,173,1238,-3265,-14,-5002,-2297,-106
20131024,7457,48741,-56903,-2226,-3783,-32259,-864,-399,-2343,-14063,-966,337,368
20131023,-5462,80049,-72734,-113,-4168,-58295,-303,-1064,-2858,-5233,-700,-827,-1026
20131022,-8465,18961,-10737,33675,-4166,-51316,-510,-4298,18799,-6318,3397,335,-95
20131021,-4315,37326,-32753,2675,3194,-35886,0,1827,-4355,-812,604,520,-778
20131018,-48288,73153,-27524,4587,2694,-34125,-4520,-447,323,3480,484,2686,-27
20131017,-50281,108052,-56067,1170,2827,-68170,-440,-2978,-2224,6534,7213,-1211,-492
20131016,-26024,76147,-44079,1720,1839,-30584,1180,885,-93,1587,-20613,-6004,-40
20131015,-90851,130229,-31779,1498,1653,-38939,-576,793,12621,1299,-10127,-7508,-90
20131014,-12099,82634,-69509,4550,-4069,-73547,-377,383,4224,562,-1236,-931,-95
20131011,-27631,36042,-5504,21821,-1780,-21526,-4071,2275,7507,-3544,-6186,-2818,-88
20131010,681,47375,-55300,-41435,-6254,-16436,57,2027,8124,-1609,225,7404,-160
20131008,-24120,43898,-25517,-4220,1659,-25950,0,814,3758,-828,-750,5757,-18
20131007,-31564,49280,-10092,-18836,2983,-2568,865,-1980,10713,-4149,2881,-7298,-326
20131004,-63336,65771,2319,-15776,7425,1519,597,-2718,3157,7216,900,-3813,-941
20131002,-200913,136708,67678,-528,13181,-3944,2634,4018,45751,4891,1674,-1110,-2363
20131001,-79786,97733,-17924,144,3150,-4893,173,-1451,-1137,-9828,-4080,802,-826
20130930,-44832,54653,-11245,-1088,-932,-9480,140,188,7387,-8254,794,1636,-212
20130927,-2000,74422,-70392,-4323,-3863,-33306,-1182,99,-16673,-18,-11125,-1983,-47
20130926,4002,42246,-46732,5479,-7122,-31359,50,-1673,-11911,920,-1117,366,118
20130925,11009,22011,-32652,1341,953,-35791,51,-1077,199,2623,-951,-623,256
20130924,-11323,63901,-54019,-25840,-7060,-22721,-692,771,8795,-7195,-77,2815,-1374
20130923,73949,-3361,-71759,5488,-24533,-26082,-797,-6248,-9263,-4496,-5829,-345,1517
20130917,68177,59160,-127146,-4994,-11341,-72141,-6515,2366,-15275,-13663,-5583,-1653,1461
20130916,-68951,146364,-73034,14071,-12433,-65445,-5520,-3215,4524,-5462,447,-3760,-619
20130913,-36543,192279,-152061,14423,-20453,-109174,280,-2873,-18212,-12871,-3181,-3128,-547
20130912,-115502,207746,-76311,33408,-8479,-81535,-1699,-2859,-13582,-1502,-63,-14535,-1399
20130911,-70976,166336,-86697,1352,1190,-76928,278,-3359,-7114,-3956,1840,-6242,-2421
20130910,-135737,188848,-48945,7921,4871,-48556,-2316,-3621,-12984,4415,1325,-3452,-713
20130909,-52856,77959,-23718,10423,19153,-35462,131,-2005,-17963,259,1746,-1206,-178
20130906,-64941,93162,-23810,-2666,-1366,-29849,820,-275,3586,2593,3347,-4044,-367
20130905,-99351,115973,-4865,-7872,-16934,-11363,2491,1561,19577,4750,2924,-10864,-894
20130904,-3144,48599,-42651,2386,-4587,-19185,-2501,1141,-18015,-3910,2019,-2699,-104
20130903,-2207,59857,-58538,11469,-12517,-37485,-2558,-3183,-17170,-3053,5958,-4353,5241
20130902,-18924,49886,-27929,12906,5698,-42531,-747,-1080,1647,-3632,-190,-2335,-698
20130830,-166796,237552,-60707,-6247,-4346,-22713,-108,1010,-23710,-5781,1189,-7228,-2822
20130829,-179340,158657,24847,9078,16927,-1702,-924,2121,-5078,366,4059,-2742,-1421
20130828,-60092,76939,-13950,-6623,-1262,-17479,164,2408,7244,407,1190,-2755,-141
20130827,-56704,50029,6848,-9053,292,-4648,180,-231,19511,397,400,810,-984
20130826,-52103,79450,-21633,212,575,-22620,99,222,957,-530,-548,-5128,-586
20130823,-112558,155421,-40890,-42711,2442,-9719,332,-2262,1614,15019,-5604,-714,-1259
20130822,-15555,13826,3251,-24713,1571,11633,166,-960,9729,2502,3324,-1549,27
20130821,31876,-19616,-13334,-10422,3661,-3126,-934,-1644,-855,5526,-5540,-1159,2234
20130820,-17501,74795,-51369,-9574,-9143,-27257,-93,-2762,2437,89,-5067,-5313,-612
20130819,18219,29981,-49109,-12156,-5843,-14537,414,-463,-13760,-1612,-1152,154,756
20130816,-33689,32921,1502,-7197,-4199,3306,1217,1690,6711,-448,422,-412,-321
20130814,-81383,128733,-42451,-10656,-19514,-18098,492,1566,3309,-875,1324,-2912,-1986
20130813,-133828,65148,68160,6004,12519,3071,1387,2883,25022,13742,3533,1531,-1011
20130812,-5273,-43566,49786,3180,7175,19297,734,-491,16046,1267,2579,-778,-170
20130809,-979,-4553,4870,-12466,1944,-10979,212,283,22442,5294,-1860,485,178
20130808,83302,-158837,72785,5234,-3182,9531,1869,439,38191,15542,5162,866,1884
20130807,155673,-163151,6242,6456,-9035,-18923,455,-201,27081,2552,-2143,344,892
20130806,66438,-80641,15102,-16001,-4867,7063,-407,203,30813,620,-2322,-941,42
20130805,29546,5714,-34963,2676,-8189,-22575,95,1210,-4929,-844,-2407,-517,220
20130802,1038,1927,-2943,-10385,4159,-3223,26,538,6284,4362,-4705,230,-252
20130801,28870,-18308,-10950,-795,1056,-6693,0,-95,2620,-3130,-3914,448,-60
20130731,24359,-37233,9020,-8393,1809,6412,-4,-1116,10135,476,-300,4008,-154
20130730,-9948,-41067,51762,15785,9698,5036,-217,-366,6794,5995,9038,-239,-508
20130729,55447,-21288,-35261,10714,-13281,-35602,-76,-5396,22350,-14294,324,-506,1608
20130726,17715,30844,-46653,545,-12155,-22439,-504,3078,9180,-21211,-3147,-1440,-466
20130725,-26827,43112,-14980,-7492,-5127,-24256,163,-1190,21825,-253,1350,-657,-648
20130724,-27371,28846,-1342,-2212,-3887,-16591,472,-519,20462,-32,964,-195,62
20130723,-100072,103649,-2455,-2992,-1419,-11758,325,1323,11299,-55,822,865,-1986
20130722,15190,5952,-21984,-3910,-1155,-5741,-241,811,-4617,-6070,-1059,361,481
20130719,100179,-74838,-26680,4989,-6446,-13461,-231,3111,-6425,-5651,-2566,-730,2069
20130718,97785,-110474,8967,-10253,-1621,-9466,-319,1699,21016,7593,318,1917,1805
20130717,-76705,11454,62022,-249,11002,1713,-400,-411,44309,5024,1035,4102,-874
20130716,43140,-13594,-30214,-3619,-2556,-31217,-192,1906,4606,2492,-1635,-586,1254
20130715,4500,23623,-27030,4251,-7117,-9117,-1385,627,-15135,498,348,-967,-127
20130712,-23122,78936,-53718,-5694,-7303,-44476,-262,-1385,10871,-2985,-2485,-707,-1390
20130711,-122732,58928,64516,30178,15946,5039,-181,-756,11603,-1336,4022,-316,-396
20130710,-19210,24186,-6141,1272,-87,-25253,-2128,-3722,24363,-189,-397,990,176
20130709,13209,-68742,47760,11779,17558,-6435,2540,-1335,18365,2441,2848,7400,372
20130708,94499,-153323,57088,27086,2834,36609,767,-1446,-19665,3823,7080,1649,86
20130705,296702,-131820,-168371,25453,-22925,-63217,321,-4189,-70271,-29040,-4502,-41,3529
20130704,9033,-28154,16677,10305,-2422,-14715,168,-2533,4974,20052,849,2153,292
20130703,67081,-57007,-10865,-2201,-3814,-7595,64,-2021,11681,-4504,-2476,407,384
20130702,-12625,-10783,19045,13053,-6787,1956,-78,1501,7746,2146,-493,5034,-671
20130701,24774,-6964,-18210,-8300,-6709,-20535,31,1312,11023,2762,2205,-28,429
20130628,-25257,108072,-73549,-10898,-18730,-33219,-1467,-2902,1430,-4988,-2776,-8730,-537
20130627,-75234,95838,-39174,-35853,-20797,-2628,356,5474,23406,1266,-10397,18771,-201
20130626,150622,-139853,-14819,684,-32720,585,-593,-6734,3120,14985,5853,2124,1926
20130625,27433,-102563,69152,42019,3863,1638,-812,-6706,9593,15045,4512,5753,224
20130624,27162,-51205,19387,3759,-2853,6741,221,-791,9940,1849,522,4500,156
20130621,5843,-225851,219668,20871,17740,72479,-1481,8213,66660,30315,4871,21,318
20130620,67538,-177916,101991,5318,5058,55412,-199,-2006,23269,15087,53,7803,584
20130619,42273,-88854,42726,267,5917,18378,2884,771,13450,-464,1523,3070,785
20130618,7389,-67589,60918,1094,16297,13846,1585,4847,7585,5078,10586,-1000,283
20130617,-44438,2195,41238,16320,11961,16481,547,2873,-21759,15338,-524,652,352
20130614,22374,-115762,81691,8802,7041,37772,568,-74,-15584,43375,-210,9911,1787
20130613,340441,-459006,95388,-1883,33781,42719,4070,9262,-4555,10265,1730,21762,1415
20130612,158404,-254550,90182,11658,7204,32996,495,6000,8170,23230,431,4992,972
20130611,246944,-328247,79653,7307,-10769,94039,5123,-4125,-11683,355,-594,-986,2635
20130610,199168,-232754,32022,-3238,1053,45658,88,1848,-18150,2569,2196,-1647,3210
20130607,578105,-665211,59299,56329,9875,25187,-2124,-3411,24264,-51462,641,24880,2928
20130605,-22213,-20626,50831,-19319,10230,29329,-755,-387,30833,36,863,-7844,-149
20130604,-2891,18657,-15874,-4503,1852,-30089,66,2065,18886,-3406,-745,-121,230
20130603,-33651,33759,-346,9247,6726,-27592,62,-1032,4385,6851,1007,-591,829
20130531,-119378,74824,46557,10642,-8196,10306,-108,-2827,34096,1912,734,-1413,-590
20130530,-286532,202362,88022,-8427,26357,12621,122,-1926,42223,6041,11012,-1086,-2766
20130529,-133451,98782,41353,-6381,15840,-4387,1018,3302,9599,19382,2980,-3298,-3387
20130528,5324,-46524,41227,3568,-119,388,-297,-1094,40410,-1850,221,-28,1
20130527,-20896,-6606,27616,302,4081,5938,-82,827,20232,-1808,-1873,66,-181
20130524,70850,-64400,-7146,-4209,4278,-2183,304,1858,-5502,-349,-1343,467,228
20130523,70562,-87432,15752,-8860,3124,8059,0,-1128,14618,616,-677,1007,111
20130522,-50106,30227,27715,17922,-8566,10064,-3051,-1245,14115,22,-1546,-7973,137
20130521,36266,-16134,-20286,9627,-3635,-24791,0,239,9880,-12696,1091,-783,937
20130520,11197,50,-11932,-21584,6797,-6672,83,334,9732,-182,-440,1037,-352
20130516,-94417,57476,47093,16697,9816,-3017,945,-4093,20066,6936,-256,-9542,-610
20130515,-2709,39263,-35666,-13113,-3203,-1421,28,18,-13914,-3474,-588,-1121,233
20130514,-74421,70647,654,-5288,711,1166,-75,-389,4152,1706,-1330,2296,824
20130513,35341,-35876,2325,-17429,6710,8103,-75,1264,7133,-528,-2853,-2134,344
20130510,124554,-72611,-54053,-2457,-5295,-13675,-1,196,-7707,-22799,-2316,2081,29
20130509,-65121,70519,-4312,4689,-885,-7570,-267,-1619,-5584,1753,5172,-570,-515
20130508,131770,-134606,-2397,9384,-768,-9630,-31,2956,-2615,-644,-1048,4458,775
20130507,76609,-84804,6343,9254,-6613,-300,410,616,-2139,4502,613,160,1692
20130506,24857,-5313,-6943,6122,8279,-22784,-151,1444,-3565,2287,1425,-12441,-160
20130503,-58871,52944,4801,-6654,10525,7867,-6,-927,-9404,275,3125,1461,-335
20130502,-56770,44862,12230,-16386,6320,3348,-12,-380,9589,10051,-301,-77,-245
20130430,-188685,56340,136294,10880,28436,51319,788,9519,15900,13451,6000,-2764,-1185
20130429,6895,-51556,42932,13960,22556,14071,-3,565,-4350,-7851,3984,1510,218
20130426,41094,-83464,39984,9875,-2182,28986,-362,-224,-5573,6919,2544,2335,52
20130425,29734,-84395,48253,9449,6324,27140,-589,2745,-384,6186,-2616,5516,891
20130424,32694,-83480,38870,20923,3796,13360,37,3302,-10337,5889,1899,11693,222
20130423,30809,-70247,23128,3919,2598,17286,159,4398,-10297,4157,909,16813,-503
20130422,4940,-10035,155,-1199,7184,-2970,485,-1765,-5719,1723,2418,4203,737
20130419,113574,-107913,-8181,27041,8274,-13981,660,-13949,-16574,-744,1091,1774,746
20130418,139188,-141450,-2264,-6746,-3588,-3499,808,-129,-372,-10843,22105,4150,377
20130417,14294,-26309,11853,-8807,-5083,28122,1327,1403,-7709,5172,-2572,-180,342
20130416,-18487,-5914,25101,-5914,-10170,12054,2144,3302,17244,4026,2415,-527,-173
20130415,-24971,10153,18599,13431,6279,-6049,-21,4772,-3770,1556,2401,-3442,-339
20130412,4317,-60048,52863,2806,6971,15562,30,2250,17579,-977,8642,2575,293
20130411,-72905,28121,49102,17093,-1019,4799,-20,5103,13731,1094,8322,-3646,-671
20130410,19245,-5764,-17348,-4552,5281,-14885,88,1894,1323,-5753,-744,3841,27
20130409,-39855,-3686,44433,41656,6724,-12500,2568,-3618,5419,1048,3137,-431,-461
20130408,-72021,-23211,93287,18262,6092,25945,1389,1201,34007,1667,4725,2182,-237
20130405,3466,-119576,113819,14357,-13467,32241,1,5346,45684,14098,15559,2160,131
20130404,-8363,-91980,100281,154,13089,8697,1341,3116,46079,11562,16243,-56,118
20130403,-6039,-78621,81932,6869,10971,12934,443,3966,37071,3673,6005,2826,-97
20130402,-53723,49853,4564,-2693,10245,-20691,0,248,15496,4536,-2577,-318,-376
20130401,3484,-56541,53083,5942,9350,2997,0,3805,25729,1771,3488,191,-217
20130329,-133285,62655,73360,-1805,28085,10546,-736,974,20694,10475,5127,-2402,-327
20130328,-27204,-54264,82453,17031,29989,1906,30,309,1013,6173,26001,-1402,417
20130327,10756,-149357,136841,42735,9751,21127,-85,6465,35355,13628,7864,1622,138
20130326,-72049,-20041,89540,-10993,973,19006,0,-694,57189,22221,1838,3118,-569
20130325,-55333,-15166,68143,18994,4718,22163,55,1904,9860,4972,5476,2659,-302
20130322,46590,-139737,89855,-3856,6487,23782,2711,2187,22790,3885,31870,2585,707
20130321,50461,-104027,49478,-1927,16398,11562,4,2306,16409,2486,2240,3912,175
20130320,51345,-151391,97433,-10136,25798,31228,632,1910,28748,4830,14423,2381,233
20130319,-22125,-49280,65833,7768,24056,30521,-1372,1052,5077,885,-2154,6231,-659
20130318,227615,-379631,142922,51220,28736,21494,1689,11254,-1499,23123,6905,6876,2218
20130315,266536,-446438,168541,1547,54851,39264,172,673,46615,21327,4092,7030,4331
20130314,72951,-58788,-18092,-35668,9379,-20565,1484,1204,18977,1167,5929,3655,275
20130313,-33528,34360,-2093,-20265,4339,-15168,141,3648,17237,3815,4159,1385,-124
20130312,49927,-21880,-29194,254,2323,-52043,1024,3609,10800,-11,4851,836,310
20130311,5204,-115078,108820,8401,9748,6762,1503,-1984,13983,11991,58415,1363,-309
20130308,128107,-143568,6644,25127,6709,-44967,0,-6231,18849,1253,5904,7835,982
20130307,154968,-72865,-91417,3317,-294,-76499,0,2515,-9205,-7391,-3860,7519,1794
20130306,-19650,5607,16044,21446,2821,-14572,629,-1147,3786,436,2644,-2069,68
20130305,-51679,90056,-35600,-8777,4021,-29449,0,-19,-1608,-617,850,-3025,248
20130304,-6588,94446,-88883,-30955,2265,-35927,1019,-745,-17829,-5506,-1205,807,218
20130228,-93829,32735,66069,71882,97,-3827,0,11727,-17960,2865,1287,-4196,-779
20130227,-18448,26717,-8643,9880,-5506,-2610,0,2425,-5099,-7873,138,413,-38
20130226,-11577,1394,10092,37608,-2076,-28015,0,493,4228,-1881,-264,-66,157
20130225,-21542,44801,-22903,2741,9977,-37993,-638,-232,-3205,4527,1919,-306,-50
20130222,21978,-96938,74850,68645,24164,-23852,-851,4146,-4368,1621,5345,22,88
20130221,-77104,139567,-60913,1751,-5448,-49190,0,-2122,2273,-9339,1162,-215,-1334
20130220,-217290,143802,84398,29497,26836,-15248,205,1803,31329,2037,7939,-8713,-2197
20130219,-6148,9688,-4141,11005,-3572,-2682,0,-657,-5325,-3857,947,541,59
20130218,3863,-19004,9633,10667,-7267,-3324,-149,-612,5709,3599,1010,4872,636
20130215,-60137,41368,15635,7581,-11411,-1510,239,-1622,20410,-492,2440,3308,-173
20130214,-17594,3690,-3036,5661,-12151,-7130,894,-1102,11851,-1872,815,15936,1004
20130213,-61263,24294,38257,29771,5452,7272,-67,-903,-3498,1144,-914,-821,-468
20130212,-31006,76150,-44979,-15172,-19325,-16310,-80,-6585,7518,2767,2209,-601,436
20130208,-95123,74556,23448,-8780,-13706,9563,49,-3904,38549,-1070,2749,-1938,-944
20130207,20332,-1496,-19167,-9998,-2138,-4468,0,-5277,591,3429,-1306,-182,513
20130206,27667,-26061,-1778,-6560,-3197,3372,0,931,4813,-1863,726,-217,389
20130205,-15652,71337,-56026,-17575,-32157,-10511,7,-78,12025,-6588,-1150,323,19
20130204,21314,33373,-55155,-16522,-1022,-26875,726,1213,-6461,-3805,-2409,456,12
20130201,-13671,24523,-14057,-18003,9007,-17090,-68,2278,17873,-2705,-5349,3266,-60
20130131,-49280,59143,-7356,-11903,-7268,-13439,89,673,37844,-12123,-1228,-1742,-764
20130130,-75881,108602,-24677,-23652,3116,-18086,-370,-3205,23831,-311,-6000,-7689,-355
20130129,-53906,-7312,57698,-23878,32717,32954,671,-1694,6633,1264,9031,1782,1738
20130128,187144,-321802,123414,60513,5974,27460,910,9504,11181,5536,2336,9471,1773
20130125,155801,-150783,-18646,-1520,-2139,8489,329,-13147,-3193,-2573,-4893,12323,1305
20130124,114054,-111795,-4883,35111,-2678,-2219,650,3504,-40814,1157,406,1053,1571
20130123,4364,46089,-50229,-11991,-8042,-24089,-1866,-5096,8319,-7070,-394,563,-788
20130122,-36063,-29227,63667,27682,7652,6832,538,-178,11472,3777,5893,1809,-186
20130121,75691,-86764,9162,17848,6359,-42483,-2716,4881,20350,289,4634,1377,534
20130118,13128,30534,-46438,-4039,-4975,-798,109,-4563,-28347,-3947,121,2787,-11
20130117,104768,-95625,-1855,21777,1396,-15628,1213,-430,-2164,-3240,-4779,-7907,620
20130116,120295,-53709,-69659,-15461,-4922,-7530,-208,-184,-40091,-2781,1518,1397,1676
20130115,77712,-54024,-27401,676,5746,-14337,2,-2031,-13285,17,-4188,2609,1103
20130114,-52626,41502,13127,14073,-2517,-8638,32,-1863,8955,573,2512,-1528,-476
20130111,10133,56833,-68034,-54037,-15004,4293,86,-5454,1542,1639,-1099,673,395
20130110,-43816,52845,-6007,-47982,31299,-3589,0,755,14572,-470,-593,-420,-2601
20130109,65276,-32015,-38156,-18886,4795,-10608,-203,956,-106,-13647,-458,2495,2400
20130108,104465,-81904,-13608,8320,-7467,-2702,-728,1338,-4597,-5179,-2594,-10415,1463
20130107,65477,-69532,4307,23014,-3235,-1512,-424,-610,-8584,-1191,-3150,-579,327
20130104,74827,-65092,-15548,33413,-9441,-21833,-530,2917,-6518,-9108,-4449,5306,506
20130103,44160,500,-44153,18061,-1893,-52267,-187,6903,1139,-18011,2101,-319,-188
20130102,-72247,110880,-41310,-12838,-1355,-24222,-1059,4029,-27101,18497,2738,2684,-7
20121228,-31729,35104,39,-20619,-396,8041,1446,2313,2058,3702,3494,-3671,257
20121227,34471,-46220,12270,913,4763,-11041,279,-154,16896,1419,-805,-284,-237
20121226,-106571,52766,50829,49670,25480,-21964,-2132,-2418,-2056,1098,3151,4795,-1820
20121224,-103340,83244,21661,6773,20205,-25327,-162,-7899,26696,3753,-2377,-1296,-269
20121221,122710,-113082,-9307,39630,32688,-89824,-4159,1383,-11338,-9779,32092,-2979,2658
20121220,26672,-44305,23421,26365,-7845,-14406,-174,-3466,29816,-8320,1450,-6266,479
20121218,-3231,38958,-34141,19192,-7055,-35082,787,-1807,-12055,4539,-2661,-2118,532
20121217,18578,-1735,-13015,30028,-5431,-6216,-2577,-4042,-18943,4423,-10257,-4168,341
20121214,26763,-56191,29228,25610,-4352,-12050,-1182,-1776,-966,3186,20759,-53,254
20121213,-154455,203078,-36583,-16005,39237,-5378,328,-6577,-1137,2480,-49531,-11636,-404
20121212,-18842,201,19607,-4916,-18568,363,1385,-4703,2326,-4061,47782,-988,22
20121211,29410,-14805,-13472,-12098,3903,-17124,-513,-2029,8324,-816,6881,-586,-547
20121210,-6535,92141,-84289,-13195,-5485,-32435,-523,-3990,501,-2895,-26267,-1177,-140
20121207,-71723,119279,-40157,-4942,-4488,-33031,-310,-3003,-4412,-1589,11618,-7155,-243
20121206,-4118,43976,-43888,4698,-19694,-17733,-646,635,9054,-2319,-17884,3842,188
20121205,-52917,77371,-15663,-10397,-6697,-16671,-52,668,21358,-4448,577,-7105,-1686
20121204,-176,44508,-44587,-7561,-3056,-23427,162,-243,6731,2529,-19722,204,51
20121203,-12440,61266,-47178,-13793,4457,-25296,1045,-2021,24370,500,-36440,-1205,-443
20121130,27051,-52052,26431,4940,16124,-6896,0,31,6353,837,5042,-1496,66
20121129,25964,-67622,42746,5205,3744,14427,-1857,15635,-12239,933,16898,-1259,172
20121128,21430,-71557,48981,12172,3502,-13784,571,1570,30822,11270,2859,1032,113
20121127,-17994,-50075,66376,-8066,3828,11543,285,-1640,12579,-20,47865,1788,-95
20121126,38308,-53943,16298,1615,-46109,5214,-645,1557,29183,3918,21565,-724,60
20121123,-63965,93233,-28582,-8464,-5420,1790,343,-12,-6373,-1760,-8687,-488,-199
20121122,-123900,-6499,131409,4390,-3937,16058,454,1288,69147,4957,39052,312,-1322
20121121,-114785,92114,23849,6646,-4305,771,1526,-4579,12517,4833,6441,538,-1717
20121120,-128455,86071,45408,7671,1423,19798,412,332,10529,5682,-439,-2256,-768
20121119,-28484,-33488,60965,-7045,2283,22320,332,715,6952,1399,34010,1100,-93
20121116,66468,-106487,37334,-3357,4108,33055,-98,930,17321,1562,-16187,2282,403
20121115,22467,-70793,45639,7912,13053,10696,-3097,2201,7878,1091,5905,3023,-336
20121114,-44838,3113,38936,-22054,-3402,6623,1158,-198,14269,-95,42635,2912,-123
20121113,-8947,-2631,10637,100,-2507,-9898,377,-2044,26314,-1733,28,582,359
20121112,-9123,-65553,73633,2504,188,9741,1718,3413,33181,15,22873,1074,-32
20121109,18048,-39541,16811,1142,-726,6213,1783,2577,15084,-922,-8339,4863,-181
20121108,-12502,46807,-37473,-3646,2771,-8495,6705,1398,15888,-2695,-49400,3230,-62
20121107,-41163,41884,-3279,849,-8802,14179,254,-726,16594,2678,-28305,2505,53
20121106,-11787,-29078,39215,8571,2008,5371,114,1339,16831,1694,3286,2253,-603
20121105,-79623,-2720,84519,3288,14120,23565,1149,2797,43221,6760,-10382,-535,-1640
20121102,-106699,-32560,145553,21319,22463,48766,126,1315,51873,2879,-3188,-5337,-958
20121101,20140,-14280,-7413,12408,-3210,7896,78,-309,6812,3441,-34529,1492,61
20121031,-37458,-37881,74472,8632,-596,21595,1274,2389,29606,4940,6632,1624,-757
20121030,-5319,1118,4803,-11586,3626,3335,-184,-247,12912,20,-3073,-612,9
20121029,9288,-102722,91596,6827,5759,9550,1352,-749,12651,5206,51000,1206,631
20121026,62534,-114958,51064,16971,813,-1461,-1825,-2622,45109,2600,-8520,1027,334
20121025,-16800,25351,-11346,6998,8761,7937,-3,-207,34976,-752,-69056,2808,-13
20121024,34960,-94799,58306,22216,7209,5804,0,211,18660,4029,176,1267,266
20121023,-22445,20407,4750,2815,-5210,-2029,178,240,30391,-2616,-19020,-2661,-52
20121022,-571,-13018,12994,-9542,9808,-111,532,-89,27695,-5036,-10264,1006,-411
20121019,43059,-104702,61656,11961,-767,13885,-814,-683,2695,-1225,36604,53,-66
20121018,-23005,15197,8550,-5508,-2545,-11715,0,1448,6471,764,19635,370,-1111
20121017,-18521,26762,-6264,-2966,-689,-1543,-169,-370,-4783,2070,2188,-2113,137
20121016,-40382,41741,-2905,5015,9552,-8182,-4510,-808,16680,3774,-24427,1555,-8
20121015,-31436,-6321,31964,-4095,17345,-1014,151,1164,10714,-4038,11738,5467,326
20121012,53148,-112935,52398,4203,24581,-13061,388,3475,17740,301,14771,6493,896
20121011,131536,-14731,-115253,6780,7465,-77396,387,1003,23436,-9126,-67802,-2455,903
20121010,63080,-20578,-43063,-2229,-2193,-21868,-485,896,-778,-10610,-5796,154,406
20121009,-32781,15210,14582,9498,-2404,-11517,-66,257,3567,-422,15668,1083,1907
20121008,-43539,32583,9922,-10082,2842,-308,253,-3384,29347,-216,-8530,1349,-316
20121005,-36745,15657,24539,-11232,5810,-6909,-438,-997,11230,4256,22818,-2900,-551
20121004,-20728,22636,-2212,7639,15688,-38939,992,2662,-9352,1680,17418,1032,-728
20121002,-77641,86044,-7764,2464,651,-5551,-164,-1635,10862,2768,-17157,118,-758
20120928,-59951,127856,-63629,8181,-53103,-1593,137,-6648,-11761,2873,-1716,-3141,-1134
20120927,-52604,21309,39030,2950,2713,3807,304,1486,-17305,10732,34342,-7316,-420
20120926,-6167,25966,-19488,-12239,-9739,10561,195,-2647,14087,5828,-25534,-282,-29
20120925,-38103,9116,29542,278,1341,-10823,12,-1142,28121,-1134,12889,-717,162
20120924,-59279,49094,10247,-1868,-946,-4133,-92,-513,41184,-1867,-21519,-105,43
