일자,개인투자자,외국인투자자,기관계,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,국가,기타법인,내외국인
20190924,-62663,-53476,107123,60429,-6011,-3870,-500,-491,61440,-3874,0,9513,-498
20190923,-29400,2540,26528,-7017,-3899,1412,271,163,40573,-4975,0,500,-168
20190920,-105285,17918,88298,-10009,-131,6336,-15,-736,98039,-5185,0,-835,-96
20190919,-166002,242301,-54224,-93126,-8861,862,-773,506,42729,4439,0,-20744,-1330
20190918,-118148,116803,2619,-12280,-7739,-8222,-1051,-374,35942,-3656,0,-126,-1149
20190917,-9442,-5866,-4672,-24438,-3660,-6417,-63,63,44093,-14251,0,20001,-20
20190916,-29096,-20831,29516,-10375,-7486,-6039,788,-396,61013,-7988,0,20383,28
20190911,-90969,11292,83816,45595,-7033,-25765,-1571,-618,92118,-18911,0,-4025,-114
20190910,-82738,63627,20310,7506,-2117,-1939,-675,725,21766,-4956,0,-1024,-175
20190909,-90733,102795,-9022,-19676,-720,-2715,951,-416,20220,-6667,0,-2917,-123
20190906,-88189,94266,-3186,-26160,261,4336,1444,477,10545,5911,0,-2737,-154
20190905,-197995,121380,80214,5385,7068,22515,1272,-483,3263,41192,0,-2984,-614
20190904,-5033,-164776,168773,116465,-205,3671,205,329,28684,19624,0,1061,-25
20190903,100580,-154075,51372,21136,-3752,-3724,0,104,41078,-3470,0,2025,97
20190902,32128,-70144,34596,3465,2333,1085,-359,408,27706,-42,0,3054,366
20190830,-49387,-72291,119909,44149,6025,5638,-700,-2243,64008,3033,0,2097,-329
20190829,53609,-86168,30794,-3913,803,209,-3,178,39826,-6307,0,1636,129
20190828,-24019,10595,13638,-17837,2421,5447,0,80,20557,2970,0,-62,-152
20190827,-62924,-41996,104778,65557,-452,6451,1012,256,19861,12092,0,195,-53
20190826,13871,-41165,30680,6741,-332,-7471,71,875,25339,5458,0,-3528,142
20190823,-12527,-8869,20825,-11820,-2735,-3815,0,81,39407,-293,0,560,12
20190822,18970,3705,-23198,-46719,-2114,4414,-11,-492,23916,-2191,0,414,108
20190821,-6943,-23835,30687,-39404,-3993,3180,0,691,70282,-68,0,23,68
20190820,-29102,48438,-17053,-43668,5618,4705,439,-957,18298,-1488,0,-2060,-222
20190819,21153,-79383,58369,13831,-2873,-4421,0,93,48794,2946,0,-85,-54
20190816,-15436,-11004,23396,-20765,4217,-1570,103,695,41179,-463,0,3105,-61
20190814,-9595,16596,-11197,-48765,16188,10574,1450,71,-2292,11578,0,4237,-41
20190813,50655,-114255,63421,-4287,-4950,-4809,24,348,67325,9769,0,-132,311
20190812,41865,-6267,-35594,-61926,767,3959,292,1111,19276,926,0,-70,66
20190809,74099,-28776,-45746,-55635,3482,4747,259,-779,2134,46,0,384,39
20190808,129523,-92658,-38120,-63720,-1773,5001,2112,-567,18142,2684,0,782,474
20190807,50900,-77156,25566,-29124,1171,22705,91,416,28073,2233,0,579,111
20190806,-32166,-253062,287938,147744,13514,17027,543,136,109277,-304,0,-2734,24
20190805,-6691,-198478,205751,88569,3267,-6582,2240,-6985,132763,-7521,0,-9,-573
20190802,11666,-96237,84967,-57255,-4844,8660,1279,227,124345,12556,0,-312,-83
20190801,13196,-41238,29558,-11237,6147,6158,576,1015,24543,2356,0,-1158,-359
20190731,27543,-64278,38030,44089,6099,-13960,1597,-599,-237,1041,0,-1331,35
20190730,-21652,67820,-45681,-24816,-140,-2263,854,-1867,-10847,-6602,0,-483,-4
20190729,-9800,-61595,74617,56933,1202,-4148,1459,-186,28377,-9019,0,-3351,129
20190726,-27111,51641,-24192,-2348,-791,-11836,-3031,1028,5893,-13107,0,-237,-101
20190725,-80595,147102,-65084,-16591,623,-1430,-2036,8,-50481,4824,0,-1271,-153
20190724,17250,34784,-49571,7312,-4879,-19125,-2249,-6732,-9163,-14734,0,-2495,31
20190723,-111289,81555,32525,991,-1967,9713,-242,-1122,28319,-3166,0,-2655,-136
20190722,-111185,187104,-74805,-49792,305,-32,-9,-1650,-22313,-1314,0,-965,-150
20190719,-119931,41127,81486,59800,1994,3550,-151,-3644,15283,4654,0,-2375,-306
20190718,5132,48379,-52623,-18877,323,-1695,-251,-6376,-22615,-3131,0,-1160,272
20190717,-7961,6167,2077,1283,-2527,-5178,-28,-144,12940,-4268,0,-394,111
20190716,-98864,119534,-19404,-11265,2827,696,-1005,-112,-9417,-1128,0,-1181,-86
20190715,-37265,44719,-7327,-3257,1092,5589,-224,-69,-6830,-3628,0,-60,-68
20190712,-28447,46598,-17936,-8033,5586,-2292,-2,-42,-11145,-2007,0,3,-218
20190711,-100281,182960,-86016,-122562,-186,3551,-441,-231,28519,5335,0,4095,-758
20190710,-50220,84322,-16355,-35870,-136,10888,-208,-6107,6053,9026,0,-17642,-105
20190709,-50899,72075,-18466,2302,5770,20702,315,-861,-53800,7107,0,-2653,-58
20190708,-22227,28761,-7441,17014,-3188,-5178,-84,2212,-22115,3898,0,987,-80
20190705,-13823,25654,-10420,39700,-10429,944,-540,-2770,-34562,-2763,0,-1459,49
20190704,-37180,62899,-24620,19855,-1010,-5417,-220,-34,-39536,1740,0,-958,-141
20190703,-13634,6469,8244,11668,-7954,-6104,-18,-178,13955,-3125,0,-1113,34
20190702,-50060,42770,6901,3179,-3973,-4541,0,1856,7860,2519,0,551,-162
20190701,-71782,82768,-3518,7878,-11001,-13803,-4052,-184,10324,7321,0,-7194,-274
20190628,-195626,292742,-90806,-47548,-2068,-7124,-118,-496,-36359,2908,0,-5302,-1009
20190627,-190869,180263,12631,-25836,-3815,-8778,-58,-2369,44227,9260,0,-1763,-261
20190626,-42206,21859,20093,8632,-4953,-12496,-22,557,17677,10698,0,333,-79
20190625,-29775,17118,11916,5039,-2640,-2785,-4326,458,18649,-2479,0,762,-22
20190624,-13960,-33020,47905,39432,-12870,-3683,-2207,100,23630,3503,0,-707,-219
20190621,-26334,39285,-12410,-15769,7311,4757,-2222,0,-10946,4460,0,-240,-301
20190620,-40537,8985,30218,10818,-6042,697,-2274,260,19207,7551,0,1747,-413
20190619,-124148,111361,20676,8906,1916,6216,0,-242,-1198,5077,0,-7489,-399
20190618,-31735,27333,1659,26548,2321,-16422,-68,-522,-2335,-7864,0,2763,-20
20190617,1386,-42106,38619,36151,5132,-961,-4302,-329,20538,-17610,0,1969,131
20190614,-14250,23671,-8903,-25411,4744,2037,0,292,10403,-968,0,-437,-81
20190613,37360,-11143,-20259,-23951,1302,-24922,-426,219,57870,-30350,0,-6761,803
20190612,-9932,-5293,16146,4586,2948,-5690,16,0,21687,-7400,0,-974,53
20190611,-49370,31584,18794,10910,-2563,-6053,-1559,1440,14042,2577,0,-954,-54
20190610,-97034,56759,49828,-1157,254,10900,10,664,37214,1943,0,-9291,-262
20190607,-55297,27930,27660,-78,7574,5031,4,-19,13492,1657,0,-257,-37
20190605,-40681,-25274,70833,-35734,13549,27609,64,-431,51355,14421,0,-4435,-442
20190604,23181,-99418,74484,-26791,15265,12840,-9,227,66601,6351,0,1477,276
20190603,-87934,142472,-49545,-135561,16555,19228,793,898,39910,8631,0,-4084,-909
20190531,9324,18832,-26353,-77195,21729,8926,5,254,15063,4867,0,-1874,71
20190530,-33819,68771,-33428,-47130,26129,5207,0,-8,-22922,5296,0,-1631,107
20190529,64179,-85181,36033,30588,14786,1088,149,353,-8977,-1954,0,-15396,365
20190528,26515,-194557,164697,53639,6934,20331,1088,559,67602,14543,0,3251,94
20190527,17076,-56949,40015,29094,-2719,-1608,9,477,9701,5061,0,-375,233
20190524,69041,-171916,102676,53428,3833,905,62,-36,56829,-12345,0,559,-359
20190523,-62266,142781,-79404,-61291,5026,-1337,0,175,-38778,16800,0,-852,-259
20190522,-14489,76688,-64837,-38488,1898,4579,2132,721,-34913,-765,0,2482,156
20190521,-42166,82381,-47333,-71388,3908,16642,314,745,-22484,24929,0,6954,164
20190520,-39063,69828,-9667,21370,84,9500,-29,-274,-51214,10895,0,-21056,-42
20190517,59742,-28033,-32931,-21181,4763,-1894,0,-2895,-14817,3093,0,1537,-314
20190516,133221,-147156,688,-22585,5577,2136,0,-255,9115,6701,0,12269,977
20190515,38643,-22781,-26101,-49724,4437,9462,0,31,-1556,11248,0,10031,209
20190514,25035,-96858,66531,23902,3452,8842,757,214,19723,9642,0,5029,263
20190513,18190,30274,-46238,-19903,1130,-5978,-890,-208,-20488,99,0,-2386,160
20190510,70683,-83682,8648,-14182,2171,5248,-4733,-102,13911,6335,0,3939,413
20190509,231737,-93489,-152254,-99287,3073,776,-210,22897,-63716,-15786,0,13651,356
20190508,84187,-23483,-59279,-36887,-523,754,428,76,-16120,-7007,0,-1538,114
20190507,56674,68101,-116849,-125704,-1917,-834,0,883,11743,-1020,0,-8161,234
20190503,41273,32462,-78922,-84441,-3503,-469,86,379,7867,1159,0,5184,4
20190502,8045,-20997,9825,-9772,4792,4993,1,2436,11924,-4549,0,3168,-40
20190430,-17739,29841,-13674,-40333,3991,10774,-1,-40,-4931,16867,0,1838,-266
20190429,-82332,50924,31346,49692,-489,-466,74,-47,-20767,3348,0,492,-429
20190426,11561,20459,-32824,-55239,-859,5596,-97,159,14089,3527,0,419,384
20190425,41878,-57326,15721,21220,-886,-4411,440,-324,-2717,2399,0,-676,403
20190424,116953,-11886,-105421,-72814,-2035,-12768,2119,-161,-8867,-10895,0,214,139
20190423,33474,-8568,-24046,-1950,-5398,-3407,703,871,-13338,-1526,0,-889,29
20190422,4243,32972,-33359,-22616,-359,2549,9,209,-12342,-808,0,-3899,42
20190419,89697,-110268,13047,10755,3738,-2161,-4,-306,-4582,5606,0,7254,270
20190418,101138,-122727,8741,19385,-103,2725,-4185,-520,3083,-11645,0,12290,558
20190417,-4591,4786,439,18157,27,-5853,-2004,858,-8940,-1805,0,-764,130
20190416,-29445,75914,-47590,-18822,-2375,-5332,-48,0,-18798,-2215,0,1403,-282
20190415,-59436,85183,-26222,-569,-1510,-4452,-787,-53,-23508,4656,0,1068,-592
20190412,-35632,91198,-54181,-12991,-7157,-10614,-480,-3556,-19313,-71,0,-1220,-166
20190411,21588,81942,-104173,-36472,-5447,-5061,609,-447,-41435,-15919,0,606,37
20190410,-16500,-34146,51013,84736,-5522,-4772,504,-95,-10134,-13704,0,-464,97
20190409,-24071,58375,-33977,1702,-5412,-3892,1005,-223,-18288,-8869,0,-277,-50
20190408,-22026,73738,-51466,-4681,-907,-5514,338,0,-30330,-10373,0,-225,-21
20190405,-71277,43879,28394,36969,2198,-3995,1053,1091,-1557,-7364,0,-799,-197
20190404,-162354,106120,57911,47281,1244,9557,605,-183,-23428,22835,0,-913,-764
20190403,-127607,75206,58549,24962,7726,6213,1331,965,17247,104,0,-4680,-1467
20190402,-55846,141716,-59481,-65561,7858,6373,1104,1223,-12445,1967,0,-25186,-1203
20190401,-25599,9719,17300,2046,690,9737,455,245,6107,-1980,0,-1409,-10
20190329,28426,-44253,14274,13748,-1473,-3392,539,2181,182,2487,0,1481,73
20190328,-7984,47340,-38682,-30115,979,5946,593,678,-16320,-443,0,-713,39
20190327,-21354,-22986,46449,5540,2383,1166,393,-131,37814,-715,0,-1609,-499
20190326,6359,51952,-60335,-20257,-3463,-28442,59,389,-845,-7774,0,2111,-88
20190325,9418,11398,-46664,-29981,4242,2107,626,274,-18893,-5039,0,25099,749
20190322,-61569,115080,-62608,-86067,9364,3274,718,-102,2743,7462,0,9942,-845
20190321,-234478,195500,40056,-86044,18692,40411,2753,-2,30748,33498,0,-26,-1053
20190320,18389,-46649,29709,27908,638,2559,632,579,-5866,3260,0,-1503,54
20190319,5138,22716,-27260,1622,1100,4199,369,444,-34850,-142,0,-753,159
